displacement,velocity,d_theta,class
6.52,0.2,0.29,1
23,0.4,0.1,0
1.02,0.03,0.03,1
1.85,0.06,0.06,1
18,0.6,0.7,0
82.39,0.66,0.1,0
3.54,0.11,0.2,1
3.14,0.09,0.22,1
3.3,0.1,0.03,1
2.99,0.09,0.06,1
468.17,3.75,1.4,0
510.94,4.09,1.5,0
3.49,0.11,0.15,1
3.24,0.1,0.04,1
102.92,0.82,0.02,0
42,0.6,0.3,0
71,0.3,0.5,0
453.39,3.63,1.36,0
2.16,0.07,0.1,1
49,1,0.1,0
49,0.7,0.4,0
78,0.2,0.4,0
584.88,4.68,1.62,0
465.65,3.73,1.16,0
18.67,0.15,1.24,0
30,0.3,0.4,0
2.34,0.07,0.09,1
105.42,0.84,0.09,0
3.17,0.1,0.04,1
4.33,0.13,0.07,1
3.13,0.09,0.3,1
688.91,5.51,1.35,0
237.47,1.9,1.48,0
12,0.2,0.6,0
4.32,0.13,0.23,1
18,1.1,0.6,0
147.36,1.18,0.08,0
2.19,0.07,0.08,1
50,0.6,0.1,0
3.08,0.02,0.12,0
32,1.2,0.5,0
51,1.1,0.3,0
15,0.8,0.3,0
35.49,0.28,0,0
48,0.38,0,0
3.05,0.09,0.03,1
285.89,2.29,0.02,0
5.64,0.17,0.02,1
35,0.7,0.5,0
4.04,0.12,0.16,1
2.58,0.08,0.07,1
359.97,2.88,1.92,0
3.27,0.1,0.11,1
4.01,0.12,0.09,1
473.86,3.79,1.01,0
52,0.6,0.6,0
517.7,4.14,1.48,0
28.94,0.23,0.63,0
38,0.4,0.6,0
311.09,2.49,1.41,0
42.71,0.34,1.45,0
85.91,0.69,0.03,0
42,0.7,0.4,0
36.29,0.29,2.7,0
463.38,3.71,1.29,0
42.56,0.34,0.41,0
1.96,0.06,0.01,1
45,0.3,0.5,0
155.71,1.25,0.18,0
3.24,0.1,0.03,1
64.8,0.52,0.03,0
2.26,0.07,0.12,1
388.67,3.11,1.79,0
1.7,0.05,0.02,1
461.38,3.69,1.27,0
480.35,3.84,1.07,0
49,0.7,0.7,0
469.13,3.75,1.31,0
50,1.1,0.3,0
2.24,0.07,0.01,1
47.9,0.38,0.07,0
20,0.3,0.5,0
227.97,1.82,0.23,0
2.26,0.07,0.11,1
463.84,3.71,1.74,0
2.77,0.08,0.03,1
64.22,0.51,0.15,0
44,1.2,0.3,0
3.73,0.11,0.23,1
294.35,2.36,1.87,0
443.76,3.55,1.83,0
101.93,0.82,0.12,0
451.73,3.61,1,0
338.65,2.71,1.67,0
601.97,4.82,1.37,0
44,0.6,0.7,0
5.55,0.17,0.31,1
36,1,0.7,0
76.11,0.61,0.37,0
510.31,4.08,1.61,0
17,0.2,0.5,0
25,0.1,0.7,0
47,1,0.6,0
524.69,4.2,1.61,0
5.47,0.16,0.06,1
2.17,0.07,0.11,1
23,1.1,0.4,0
434.41,3.48,1.65,0
3.19,0.1,0.09,1
40.59,0.33,0.15,0
455.61,3.64,1.72,0
29,0.8,0.1,0
46.24,0.37,0.06,0
443.02,3.54,1.92,0
3.6,0.11,0.16,1
26.43,0.21,0.57,0
2.93,0.09,0.14,1
1.27,0.04,0.03,1
2.35,0.07,0.01,1
34,0.8,0.4,0
47.71,0.38,0.35,0
25,0.3,0.5,0
2.81,0.08,0.05,1
358.82,2.87,1.84,0
2.01,0.06,0.05,1
501.7,4.01,1.13,0
500.17,4,1.42,0
2.17,0.07,0,1
1.49,0.05,0.03,1
24,0.5,0.3,0
2.48,0.07,0.02,1
8.58,0.07,0.79,0
57,1,0.4,0
48,0.5,0.4,0
2.93,0.09,0.06,1
5.64,0.17,0.27,1
383.29,3.07,1.37,0
60,1.2,0.2,0
234.8,1.88,0.17,0
562.36,4.5,1.33,0
383.89,3.07,1.83,0
550.85,4.41,1.69,0
59,0.3,0.4,0
41,1.2,0.6,0
72,0.9,0.6,0
51,0.8,0.7,0
4.89,0.15,0.15,1
52,0.8,0.2,0
62.71,0.5,0,0
4.33,0.13,0.08,1
44,0.8,0.3,0
445.72,3.57,1.49,0
571.77,4.57,2.04,0
52,1.1,0.3,0
115.23,0.92,0.11,0
28.36,0.23,0.29,0
15,1,0.2,0
449.21,3.59,1.31,0
2.08,0.06,0.07,1
463.21,3.71,1.22,0
1.52,0.05,0.04,1
36.18,0.29,0,0
77,0.2,0.5,0
5.5,0.17,0.09,1
83.88,0.67,0.03,0
4,0.12,0.05,1
17.53,0.14,0.15,0
162.09,1.3,0.07,0
504.63,4.04,0.95,0
20,0.6,0.7,0
61,0.8,0.5,0
45,1.1,0.5,0
14.76,0.12,0.05,0
542.37,4.34,0.74,0
2.17,0.07,0.02,1
293.14,2.35,0.1,0
4.26,0.13,0.19,1
2.45,0.07,0.22,1
69.34,0.55,0.17,0
71,0.3,0.6,0
47.14,0.38,0.01,0
2.04,0.06,0.33,1
4.97,0.15,0.23,1
70.47,0.56,0.05,0
359.24,2.87,1.18,0
78,0.5,0.5,0
20,0.2,0.1,0
2.48,0.07,0.02,1
47,0.2,0.6,0
3.29,0.1,1.01,1
22,0.8,0.5,0
336.55,2.69,1.98,0
30,1.1,0.4,0
5.23,0.16,0.5,1
6.3,0.19,0.15,1
49.57,0.4,0,0
1.95,0.06,0.01,1
3.41,0.1,0.1,1
2.78,0.08,0.04,1
540.06,4.32,1.48,0
35,0.5,0.6,0
389.01,3.11,1.31,0
26.95,0.22,0.03,0
1.84,0.06,0.02,1
45,0.9,0.5,0
3.05,0.09,0,1
3.15,0.09,0.18,1
54,1.2,0.4,0
68,0.1,0.3,0
365.21,2.92,2.02,0
2.59,0.08,0.03,1
3.67,0.11,0.05,1
164.18,1.31,0.24,0
2.26,0.07,0.14,1
2,0.06,0.01,1
34,1.1,0.1,0
394.81,3.16,1.41,0
28.85,0.23,0,0
14,0.6,0.6,0
8.47,0.07,0,0
1.91,0.06,0.04,1
56,0.2,0.4,0
90.72,0.73,0.09,0
42,0.6,0.4,0
3.14,0.09,0.07,1
92.29,0.74,0.03,0
6.76,0.2,0.1,1
3.03,0.09,0.06,1
1.83,0.06,0.03,1
30,0.4,0.2,0
62,0.6,0.5,0
21,0.5,0.1,0
2.21,0.07,0.04,1
70,0.1,0.7,0
476.84,3.81,1.39,0
62.72,0.5,0.03,0
46,0.7,0.4,0
106.87,0.86,0.06,0
3.75,0.11,0,1
3.52,0.11,0.01,1
50.23,0.4,0.22,0
2.76,0.08,0.02,1
3.08,0.09,0.04,1
2.77,0.08,0.11,1
213.9,1.71,0.28,0
56.55,0.45,0.08,0
431.34,3.45,1.6,0
24,0.8,0.5,0
2.59,0.08,0.07,1
2.67,0.08,0.1,1
48,0.2,0.3,0
1.94,0.06,0.07,1
20.01,0.16,0.02,0
1.45,0.04,0.02,1
47.59,0.38,0.11,0
104.34,0.83,2.02,0
382.79,3.06,1.18,0
30,0.9,0.6,0
7.28,0.22,0.17,1
71.99,0.58,0.03,0
100.43,0.8,0.05,0
400.77,3.21,1.43,0
0,0,0,1
465.36,3.72,1.06,0
474.08,3.79,1.33,0
6.6,0.2,0.16,1
26.46,0.21,0.02,0
460.22,3.68,1.06,0
2.92,0.09,0.14,1
3.51,0.11,0.14,1
58,0.6,0.3,0
61,0.4,0.7,0
3.38,0.1,0.23,1
33,0.7,0.5,0
232.74,1.86,0.4,0
13,0.6,0.5,0
359.16,2.87,1.31,0
1.44,0.04,0.04,1
318.08,2.54,2.06,0
516.25,4.13,1.3,0
59,0.3,0.5,0
88.38,0.71,0.06,0
385.74,3.09,1.76,0
79.81,0.64,1.68,0
2.47,0.07,0.18,1
57,1.2,0.1,0
3.01,0.09,0.14,1
3.41,0.1,0.24,1
1.37,0.04,0.01,1
351.2,2.81,1.71,0
1.9,0.06,0.07,1
44,1.2,0.3,0
1.44,0.04,10.69,1
300.81,2.41,1.41,0
5.26,0.16,0.3,1
273.06,2.19,0.21,0
55,1,0.2,0
47,0.9,0.4,0
27,0.3,0.3,0
228.76,1.83,0.24,0
2.43,0.07,0.02,1
165.34,1.32,0.08,0
2.44,0.07,0.07,1
74.94,0.6,0.19,0
361.31,2.89,1.67,0
2.5,0.08,0.03,1
3.56,0.11,0.07,1
495.13,3.96,1.47,0
78,0.9,0.6,0
19,0.2,0.5,0
478.55,3.83,1.56,0
2.92,0.09,0.14,1
3.99,0.12,0.32,1
53,0.9,0.4,0
350.7,2.81,1.9,0
68,0.3,0.6,0
31,0.7,0.3,0
2.77,0.08,0.09,1
45,1,0.1,0
5.11,0.15,0.15,1
26.46,0.21,0,0
28.16,0.23,0.04,0
3.35,0.1,0.17,1
65,0.4,0.6,0
4.96,0.15,0.43,1
518.08,4.14,1.54,0
53,0.3,0.6,0
423.9,3.39,1.81,0
29,0.3,0.1,0
3.3,0.1,0.07,1
320.83,2.57,1.33,0
1.51,0.05,0.03,1
2.06,0.06,0.03,1
47.67,0.38,0.8,0
3.25,0.1,10.73,1
35.16,0.28,0.01,0
79,0.2,0.5,0
599.62,2.4,0,0
4.5,0.14,0.22,1
23,0.7,0.7,0
25.57,0.21,0.02,0
2.46,0.07,0.05,1
71.48,0.57,0.14,0
26.05,0.21,0,0
344.24,2.75,1.94,0
57.81,0.46,0.05,0
1.53,0.05,0.21,1
20,0.6,0.2,0
76.96,0.62,0.13,0
4.68,0.14,0.23,1
4.56,0.14,0.01,1
481.47,3.85,1.58,0
1.51,0.05,0.06,1
21,0.5,0.5,0
57.1,0.46,0.1,0
3.01,0.09,0.22,1
46,0.5,0.3,0
2.3,0.07,0.1,1
57,0.6,0.3,0
51,0.7,0.3,0
6.27,0.19,0.29,1
79,1.1,0.5,0
1.78,0.05,0,1
1.96,0.06,0.03,1
25,1.1,0.1,0
140.16,1.12,1.13,0
70,0.3,0.7,0
5.81,0.17,0.22,1
289.75,2.32,2.02,0
4.46,0.13,0.17,1
581.93,4.66,1.45,0
54.92,0.44,0.16,0
2.49,0.08,0.01,1
570.3,4.56,1.68,0
5.34,0.16,0.16,1
5.01,0.15,0.37,1
32,0.4,0.2,0
57.6,0.46,2.19,0
49,0.7,0.2,0
2.13,0.06,0.02,1
87.71,0.7,2.11,0
44,1,0.2,0
2.81,0.08,0.11,1
84.87,0.68,0,0
62,0.6,0.7,0
17.59,0.14,0.01,0
2.13,0.06,0.05,1
2.8,0.08,0.02,1
219.63,1.76,0.14,0
15,0.3,0.6,0
6.42,0.19,0.31,1
56,0.7,0.5,0
74.4,0.6,0.05,0
48,1.2,0.4,0
119.53,0.96,0.26,0
2.55,0.08,0.02,1
46,0.5,0.5,0
49.31,0.39,0,0
20.04,0.16,0.09,0
516.44,4.13,1.61,0
56.96,0.46,0.27,0
1.8,0.05,0.12,1
24,0.7,0.7,0
1.95,0.06,0.06,1
2.5,0.08,0.25,1
6.61,0.2,0.29,1
3.27,0.1,0.18,1
4.45,0.13,0.19,1
473.61,3.79,1.25,0
50,0.4,0,0
3.49,0.11,0.01,1
2.15,0.06,0.03,1
4.08,0.12,0.07,1
4.5,0.14,0.05,1
30,1,0.2,0
2.98,0.09,0.11,1
33,1.2,0.4,0
40,1.2,0.5,0
14.76,0.12,0.08,0
56.87,0.46,0.11,0
82.49,0.66,0.2,0
53,0.4,0.2,0
510.2,4.08,1.49,0
30.01,0.24,0.12,0
2.77,0.08,0.13,1
7.76,0.23,0.32,1
4.2,0.13,0.28,1
15,0.6,0.2,0
6.43,0.19,0.12,1
2.59,0.08,1.07,1
2.31,0.07,0,1
306.38,2.45,0.15,0
7.85,0.24,0.41,1
26.99,0.22,0.33,0
54.65,0.44,0.26,0
3,0.09,0.18,1
54,0.2,0.2,0
477.61,3.82,2.02,0
2.38,0.07,0.04,1
405.37,3.24,1.41,0
3.03,0.09,0.01,1
16,0.2,0.1,0
613.84,4.91,1.37,0
4.29,0.13,0.16,1
19,0.3,0.5,0
3.53,0.11,0.46,1
90.45,0.72,0.15,0
497.3,3.98,1.39,0
3.11,0.09,0.03,1
1.7,0.05,0.07,1
60,1.2,0.3,0
39,0.8,0.4,0
1.97,0.06,0.03,1
108.45,0.87,0.83,0
6.36,0.19,0.43,1
96.9,0.78,1.79,0
3.53,0.11,0.23,1
43,0.4,0.1,0
7.49,0.23,0.07,1
94.73,0.76,0.24,0
113.1,0.91,0.27,0
48,0.9,0.5,0
3.75,0.11,0.21,1
358.98,2.87,1.77,0
360.05,2.88,0.37,0
31,0.9,0.6,0
82.92,0.66,0.15,0
159.13,1.27,0.01,0
17.89,0.14,0.01,0
2.44,0.07,0.03,1
356.51,0.32,0.21,0
12.68,0.1,0,0
39,1.2,0.2,0
6.28,0.19,10.23,1
1.67,0.05,0.15,1
1.4,0.04,0.05,1
97.69,0.78,0.03,0
78,1.2,0.3,0
111.61,0.89,0.08,0
18.89,0.15,1.75,0
56,0.4,0.4,0
2.98,0.09,0.07,1
21,0.9,0.1,0
245.74,1.97,1.43,0
43,0.9,0.2,0
80.4,0.64,1.51,0
0,0,0,1
89.6,0.72,0.52,0
21,1,0.3,0
40,0.5,0.1,0
95.93,0.77,0.23,0
92.41,0.74,0.04,0
522.29,4.18,1.37,0
188.27,1.51,0.19,0
337.73,2.7,2.1,0
28,0.4,0.5,0
17.67,0.14,0,0
50,0.8,0.5,0
4.1,0.12,0.18,1
41,0.4,0.5,0
47.68,0.38,0.07,0
622.31,4.98,1.02,0
73,1.1,0.4,0
2.83,0.09,0.03,1
67.55,0.54,0.16,0
325.17,2.6,1.02,0
28.47,0.23,0.04,0
4.04,0.12,0.34,1
463.45,3.71,1.16,0
42,0.2,0.7,0
1.63,0.05,0.02,1
573.39,4.59,1.65,0
1.71,0.05,0.01,1
4.85,0.15,0.13,1
38,0.2,0.1,0
0.97,0.03,0.01,1
1.42,0.04,0.04,1
4.46,0.13,0.15,1
1.48,0.04,0.02,1
61,1.1,0.4,0
44,0.7,0.1,0
2.04,0.06,0.18,1
37,0.3,0.6,0
395.88,3.17,2.11,0
7.17,0.22,0.25,1
82.7,0.66,0.12,0
20,1,0.1,0
1.66,0.05,0.06,1
2.52,0.08,0.09,1
38,1.2,0.7,0
57,0.8,0.1,0
25,1,0.7,0
53,0.7,0.3,0
74,0.2,0.7,0
50.95,0.41,0.34,0
47,0.7,0.3,0
3.97,0.12,0.43,1
3.34,0.1,0.11,1
384.85,3.08,0.25,0
250.22,2,1.23,0
26.02,0.21,2.2,0
3.49,0.11,0.12,1
27,1.2,0.5,0
64.3,0.51,0.01,0
462.31,3.7,2.13,0
340.65,2.73,1.68,0
20,0.9,0.4,0
425.21,3.4,1.38,0
80,0.7,0.3,0
6.47,0.19,0.11,1
1.96,0.06,0.02,1
44,0.5,0.7,0
139.39,1.12,0.1,0
1.83,0.06,0.01,1
37,1.2,0.5,0
37,1.2,0.5,0
457.58,3.66,1.14,0
4.13,0.12,0.55,1
104.96,0.84,1.42,0
32,1.2,0.4,0
45,0.2,0.6,0
632.4,5.06,1.59,0
2.23,0.07,0.02,1
50,0.9,0.5,0
2.64,0.08,0.11,1
37.67,0.3,0.19,0
65,1.2,0.7,0
2.55,0.08,0.02,1
3.37,0.1,0.01,1
1.33,0.04,0.07,1
3.22,0.1,0.25,1
2.56,0.08,0.06,1
61.73,0.49,0,0
507.12,4.06,1.24,0
42,0.7,0.3,0
82.7,0.66,0.14,0
422,3.38,0.41,0
28,0.7,0.6,0
514.01,4.11,1.33,0
106.87,0.86,0.13,0
30,1,0.5,0
4.6,0.14,0.32,1
452.92,3.62,1.25,0
79.9,0.64,1.91,0
225.36,1.8,0.13,0
17,0.3,0.6,0
81.55,0.65,2.46,0
3.11,0.09,0.04,1
35,0.4,0.1,0
452.31,3.62,1.55,0
4.89,0.15,0.03,1
32,1.1,0.2,0
442.3,3.54,0.39,0
78,0.6,0.4,0
68,0.8,0.3,0
40,0.9,0.6,0
553.18,4.43,1.99,0
6.52,0.2,0.31,1
127.11,1.02,2.54,0
2.97,0.09,0.06,1
1.78,0.05,0.01,1
25,1.1,0.3,0
79,0.1,0.3,0
4.73,0.14,0.03,1
6.17,0.19,0.13,1
529.43,4.24,1.4,0
409.68,3.28,1.45,0
2.08,0.06,0.02,1
94.97,0.76,0.32,0
65,0.8,0.3,0
3.24,0.1,0.06,1
25,0.7,0.6,0
60,1.2,0.3,0
198.1,1.58,1.75,0
31,1.2,0.5,0
49,0.7,0.1,0
402.78,3.22,0.98,0
56.68,0.45,2.09,0
1.72,0.05,0,1
3.9,0.12,0.78,1
478.47,3.83,1.49,0
64.67,0.52,0,0
59.55,0.48,0,0
80,0.5,0.4,0
80,0.1,0.3,0
444.38,3.56,0.94,0
22.67,0.18,0.13,0
90.85,0.73,0.44,0
32,0.4,0.4,0
1.32,0.04,0.1,1
48,0.3,0.5,0
59,0.3,0.3,0
2.91,0.09,0.11,1
1.81,0.05,0.03,1
49,0.4,0.2,0
587.09,4.7,1.18,0
59.48,0.48,0.34,0
2.5,0.08,0.04,1
4.74,0.14,0.12,1
134.16,1.07,0.29,0
3.63,0.11,0.15,1
26.39,0.21,0,0
399.12,3.19,1.77,0
421.86,3.37,1.71,0
1.94,0.06,0.07,1
608.1,4.86,1.37,0
12.69,0.1,0.11,0
53,0.2,0.5,0
27,0.9,0.2,0
314.06,2.51,1.17,0
47.89,0.38,0.01,0
2.89,0.09,0.07,1
582.38,4.66,1.69,0
6.97,0.21,0.27,1
23,0.5,0.7,0
4.57,0.14,0.26,1
238.41,1.91,0.28,0
395.72,3.17,1.7,0
154.65,1.24,0.51,0
0,0,0,1
1.37,0.04,0.01,1
334.72,2.68,1.13,0
7,0.21,0.1,1
131.85,1.05,0.5,0
26,0.7,0.2,0
16,0.8,0.6,0
46,0.7,0.7,0
101.07,0.81,0.02,0
0,0,0.12,1
5.95,0.18,0.13,1
6.64,0.2,0.29,1
60,0.2,0.4,0
541.1,4.33,1.17,0
79,0.1,0.4,0
4.13,0.12,0.08,1
76,0.7,0.5,0
2.98,0.09,0.05,1
23.67,0.19,1.62,0
4.93,0.15,0.27,1
24.69,0.2,0.06,0
2.65,0.08,0.05,1
45,0.9,0.6,0
3.18,0.1,0.18,1
48.96,0.39,0.01,0
17,1.2,0.4,0
550.11,4.4,1.46,0
2.75,0.08,0.03,1
104.37,0.84,2.29,0
16,0.4,0.6,0
20,0.9,0.5,0
7.03,0.21,0.14,1
17.69,0.14,1.43,0
32,0.4,0.3,0
19.39,0.16,0.04,0
59,0.9,0.2,0
1.25,0.04,0.03,1
18,0.9,0.5,0
16,0.7,0.3,0
436.69,3.49,1.19,0
23.2,0.19,1.44,0
437.48,3.5,1.06,0
343.54,2.75,1.74,0
604.92,4.84,2.04,0
389.84,3.12,0.99,0
91.09,0.73,0.57,0
57.1,0.46,0,0
23.85,0.19,0.44,0
3.44,0.03,0.15,0
34,0.5,0.3,0
2.35,0.07,0.06,1
60,1,0.4,0
29,0.6,0.5,0
58,1.1,0.1,0
574.11,4.59,1.18,0
448.42,3.59,0.84,0
30,1.1,0.4,0
1.77,0.05,0.03,1
24,1.2,0.1,0
3.26,0.1,0.08,1
3.69,0.11,0.1,1
1.6,0.05,0.05,1
2.55,0.08,0.03,1
400.68,3.21,1.31,0
331.33,2.65,2.26,0
297.26,2.38,1.06,0
32,0.9,0.3,0
5.39,0.16,0.28,1
3.4,0.1,0.06,1
409.23,3.27,1.54,0
1.14,0.03,0.05,1
489.34,3.91,1,0
47,1,0.4,0
5.38,0.16,0.17,1
16,0.3,0.3,0
3.34,0.1,0.04,1
40.01,0.32,0,0
40,1.1,0.2,0
51,0.4,0.1,0
50,1,0.7,0
32,0.9,0.6,0
16,0.6,0.7,0
606.65,4.85,1.39,0
44,0.9,0.6,0
299.31,2.39,1.16,0
128.16,1.03,0.09,0
47,0.9,0.4,0
14.32,0.11,0.01,0
172.64,1.38,1.3,0
417.84,3.34,0.28,0
129.36,1.04,1.24,0
3.73,0.11,0.04,1
5.62,0.17,0.31,1
62.35,0.5,2.09,0
153.47,1.23,0.07,0
16,0.8,0.4,0
8.69,0.07,0.12,0
1.74,0.05,0.27,1
44.49,0.36,0.05,0
50.83,0.41,0.25,0
24,0.8,0.4,0
456.33,3.65,1,0
17.8,0.14,0.01,0
504.11,4.03,1.61,0
37,0.8,0.6,0
20.35,0.16,1.57,0
89.79,0.72,0.02,0
57,0.7,0.5,0
461.58,3.69,1.17,0
385.58,3.08,1.03,0
69.86,0.56,0.13,0
1.37,0.04,0.16,1
0,0,0,1
3.89,0.12,0.12,1
57,1.1,0.6,0
2.28,0.07,0.04,1
22,0.2,0.4,0
2.32,0.07,0.02,1
3,0.09,0.01,1
2.04,0.06,0.06,1
39.07,0.31,1.21,0
366.84,2.93,1.17,0
534.43,4.28,1.5,0
234.89,1.88,2.63,0
2,0.06,0.1,1
56,0.3,0.3,0
24,0.8,0.5,0
37,0.6,0.2,0
38,0.6,0.3,0
83.1,0.67,0.36,0
376.66,3.01,0.3,0
1.76,0.05,0.07,1
414.85,3.32,1.11,0
3.06,0.09,0.02,1
1.17,0.04,0.18,1
71.34,0.57,0.25,0
57,0.5,0.1,0
5.09,0.15,0.17,1
106.01,0.85,0,0
42,0.9,0.6,0
298.26,2.39,2.06,0
487.71,3.9,1.86,0
50,0.4,0.3,0
4.87,0.15,0.02,1
220.92,1.77,0.46,0
63,0.6,0.3,0
1.14,0.03,0.02,1
105.82,0.85,0.22,0
61,0.8,0.5,0
205.92,1.65,0.08,0
68.69,0.55,0,0
461.96,3.7,1.83,0
41,0.3,0.3,0
555.86,4.45,1.72,0
26.58,0.21,0,0
0,0,0,1
6.62,0.2,0.31,1
2.01,0.06,0.08,1
54,0.5,0.3,0
6.98,0.21,0.08,1
2.36,0.07,0.13,1
74,0.4,0.3,0
5.04,0.15,0.87,1
507.14,4.06,1.37,0
5.82,0.18,0.2,1
24,1,0.2,0
24,0.3,0.3,0
62.83,0.5,0.43,0
57,0.2,0.1,0
46,0.9,0.6,0
